benchmark,size,predictor,numInstructions,branchPredicted,branchMispredicted,mispredictRate,branch_MPKI,l1iAccesses,l1iMissRate,l1i_MPKI,l1dAccesses,l1dMissRate,l1d_MPKI,l2Accesses,l2MissRate,l2_MPKI,numCycles,decodeRunCycles,decodeBlockedCycles,decodeIdleCycles,fetchRunCycles,icacheStallCycles,iewBlockedCycles,renameRunCycles,renameBlockedCycles,squashCycles,commitSquashedInsts,iqFullEvents,robFullEvents,ipc,cpi,simSeconds
blackscholes,large,ltage,7576981425.0,82544187.0,2248755.0,0.027243044988740393,0.2967877145086178,273404630.0,0.000323,0.011654996962065272,691832269.0,0.002253,0.20571491661760274,3036665.0,0.477967,0.1915572414188675,810697261.0,532355052.0,151062907.0,54874555.0,800795013.0,4486040.0,45561148.0,568975030.0,51672999.0,4557768.0,198502231.0,69944406.0,96911.0,9.346252651271755,0.10699475365283742,0.253749
blackscholes,large,perceptron,7654323259.0,82552520.0,2249764.0,0.02725251754882831,0.2939206934270399,273409609.0,0.000326,0.011644599988535707,691862358.0,0.002253,0.20364516101945307,3038938.0,0.478133,0.18982952425552893,811078438.0,532373623.0,151339964.0,54959251.0,801076751.0,4575894.0,45719938.0,568968665.0,51848695.0,4561870.0,198601473.0,69960769.0,101322.0,9.437217043858833,0.10596344190798697,0.253869
blackscholes,large,tage,7550722080.0,82551417.0,2248731.0,0.027240368266482937,0.2978166824542958,273408655.0,0.000324,0.011731911634602238,691855662.0,0.002251,0.20625406135488433,3036852.0,0.478179,0.1923205273776942,810996465.0,532395561.0,151324867.0,54901656.0,801074513.0,4514430.0,45814363.0,568985063.0,51938242.0,4557544.0,198570998.0,69966162.0,99373.0,9.310425391311663,0.10740647800402157,0.253843
blackscholes,large,tournament,7588853488.0,82573994.0,2250450.0,0.02725373802313595,0.29654677133490076,273423318.0,0.000338,0.012178003123941718,691868721.0,0.002253,0.20540391653071796,3042640.0,0.478348,0.19178664616749286,811427980.0,532421210.0,151437424.0,55031711.0,801144251.0,4708842.0,45796866.0,569003155.0,51968036.0,4562802.0,198615200.0,69953617.0,99673.0,9.352467101270035,0.10692365866373411,0.253977
blackscholes,medium,bimodal,5498956857.0,21545337.0,586143.0,0.027205097789837308,0.10659167097371537,69218536.0,0.00088,0.011077066662645395,174573178.0,0.002277,0.07228700581638332,801726.0,0.451174,0.06577937156636252,207741767.0,134533846.0,40138672.0,14325063.0,204178867.0,1674803.0,12263281.0,143732062.0,13744567.0,1206316.0,50528367.0,17614214.0,28575.0,26.470155406928836,0.037778395503421935,0.065023
blackscholes,medium,local,8459746266.0,21544975.0,586272.0,0.027211542366607527,0.06930136928057128,69188767.0,0.000909,0.00743433517099294,174549391.0,0.00228,0.04704309076969188,803898.0,0.45173,0.04292620985566566,206674058.0,134561136.0,39034979.0,14340019.0,203038764.0,1715053.0,12020548.0,143724276.0,13506600.0,1205118.0,50416909.0,17611572.0,27564.0,40.93279218430017,0.024430290401336253,0.06572
blackscholes,medium,ltage,5481596795.0,21551539.0,583893.0,0.02709286793857274,0.10651877944262407,69211759.0,0.000866,0.010934292604058631,174576080.0,0.002272,0.07235790383593875,799968.0,0.449388,0.06558235365138708,207507986.0,134541606.0,40005892.0,14289232.0,204048820.0,1640122.0,12173819.0,143739950.0,13636505.0,1200934.0,50394192.0,17606340.0,25618.0,26.416317273687962,0.03785539027410351,0.064952
blackscholes,medium,perceptron,8711549104.0,21552406.0,586920.0,0.027232226415927763,0.06737263292592927,69200606.0,0.00085,0.006752015559780514,174574215.0,0.00228,0.0456898314465381,799593.0,0.453903,0.04166166741944361,206606765.0,134566316.0,38948101.0,14306457.0,202992462.0,1661777.0,11966794.0,143747407.0,13440826.0,1203820.0,50440919.0,17617250.0,28106.0,42.16487830880078,0.02371642087228026,0.065672
blackscholes,small,bimodal,4935468881.0,6359076.0,171198.0,0.026921835813882394,0.034687281822211126,18240425.0,0.002586,0.009557296416473952,45390380.0,0.002394,0.02201707119222742,236557.0,0.103066,0.00493995288995927,55301045.0,35262020.0,10812302.0,4080824.0,53608185.0,849361.0,2481094.0,37621853.0,2755436.0,365420.0,13730717.0,4397506.0,8085.0,89.24729869028695,0.011204820926516547,0.01731
blackscholes,small,local,4958328554.0,6349020.0,171141.0,0.026955498643885197,0.03451586520258657,18231413.0,0.002602,0.009567364507890577,45374382.0,0.002395,0.021916991523752906,236975.0,0.100749,0.004815129537097634,55230340.0,35250201.0,10749582.0,4081117.0,53527263.0,851829.0,2461394.0,37605868.0,2728444.0,365080.0,13727182.0,4396985.0,7795.0,89.7754486754925,0.011138902837619421,0.017287
blackscholes,small,ltage,4960146566.0,6342463.0,171168.0,0.02698762294711061,0.03450865770243451,18225085.0,0.00263,0.009663418794629224,45359211.0,0.002402,0.021965646251026528,237741.0,0.103524,0.004961929845522231,55247014.0,35231268.0,10736297.0,4098953.0,53500039.0,867723.0,2441973.0,37591649.0,2711670.0,365852.0,13717559.0,4396665.0,7985.0,89.78126068496661,0.011138181758317019,0.017294
blackscholes,small,perceptron,4956399119.0,6297809.0,171436.0,0.027221530535460826,0.03458882061027176,18190450.0,0.002836,0.010408386201635913,45285312.0,0.002398,0.021909893769392383,241398.0,0.105954,0.005160416479365451,55304480.0,35166987.0,10773827.0,4147055.0,53468244.0,921309.0,2479718.0,37532565.0,2754129.0,368350.0,13762846.0,4393859.0,8500.0,89.62021013487515,0.011158197447819375,0.017312
blackscholes,small,tage,7384815489.0,6284042.0,170542.0,0.027138901999700194,0.023093603388470524,18146826.0,0.002816,0.006919802138877785,45233203.0,0.002407,0.014743268776745465,240829.0,0.103189,0.0033651353534853356,53929561.0,35156474.0,9469571.0,4120143.0,52122745.0,905443.0,2159126.0,37512665.0,2426212.0,363946.0,13650399.0,4387373.0,7653.0,136.93446325290873,0.007302763499010964,0.016883
blackscholes,small,tournament,4951826621.0,6371323.0,171549.0,0.02692517707860675,0.03464357965856172,18250888.0,0.002594,0.009560674695520605,45407375.0,0.002385,0.021870028509425068,236823.0,0.101629,0.004860445752468521,55255528.0,35289563.0,10772265.0,4075981.0,53582135.0,847490.0,2467679.0,37635645.0,2737450.0,366284.0,13732071.0,4394098.0,7818.0,89.61685464303228,0.011158615240216425,0.017296
bodytrack,small,bimodal,5987012853.0,69312739.0,1003144.0,0.014472721962408671,0.16755333997610178,66376785.0,0.038782,0.42996808910809264,186709074.0,0.052503,1.6373418185180568,10634801.0,0.442596,0.7861884547378973,838848533.0,113637089.0,538966467.0,72459258.0,743410803.0,45447709.0,308542525.0,152134147.0,415517038.0,2791728.0,70680753.0,83280869.0,8163935.0,7.137179857236515,0.14011136331195045,0.262565
bodytrack,small,local,5960927389.0,69418994.0,1004036.0,0.014463419046377999,0.16843620706616863,66468367.0,0.038722,0.43177645675126675,187066792.0,0.052409,1.644707754706052,10644004.0,0.440374,0.786344525206898,848069152.0,113035703.0,546041439.0,72201558.0,750691248.0,45133840.0,312972993.0,151953251.0,420390207.0,2788642.0,71212155.0,85306280.0,8146318.0,7.028822325328489,0.14227134414772186,0.265451
bodytrack,small,ltage,5974256791.0,69405029.0,1008009.0,0.014523572924376994,0.16872542230165413,66501467.0,0.03872,0.4310053772912889,187041092.0,0.052245,1.6356782430680086,10648010.0,0.440998,0.7859975354681736,848500622.0,113231234.0,546416099.0,71849413.0,751176876.0,44758348.0,312632063.0,152052802.0,420798126.0,2800158.0,71220246.0,85229090.0,8226114.0,7.040957467913324,0.14202613842750034,0.265586
bodytrack,small,perceptron,5927217167.0,69363594.0,1000035.0,0.014417289277138668,0.16871914286652626,66398076.0,0.038871,0.43544205307097367,186884543.0,0.052459,1.6540268333375543,10663441.0,0.444071,0.7989119978048208,850783972.0,113028102.0,551479128.0,72288742.0,755755963.0,45443543.0,317288252.0,151830058.0,425978787.0,2790770.0,70945079.0,85213168.0,8216578.0,6.96677107476115,0.14353851867226514,0.266301
bodytrack,small,tournament,5948986655.0,69413621.0,1005054.0,0.014479204304872671,0.16894541176273659,66473096.0,0.038829,0.4338694964821702,187100335.0,0.052417,1.6485561034923855,10646512.0,0.442693,0.7922586837297251,852710680.0,112871075.0,552982016.0,72253822.0,757629188.0,45200271.0,318123938.0,151886455.0,426571967.0,2792316.0,71135645.0,85990793.0,8198291.0,6.976559335459479,0.1433371310865716,0.266906
canneal,large,bimodal,12097954063.0,156800071.0,8895554.0,0.056731823801278766,0.7352940797821246,254099155.0,0.00226,0.047467868311412344,601219199.0,0.069464,3.4520787747957247,45884912.0,0.897817,3.4052248688145803,6061671895.0,330876560.0,5400239099.0,113018250.0,5981077999.0,33163564.0,4423914816.0,408983371.0,4899078769.0,23810366.0,596481105.0,455774748.0,7394469.0,1.995811431657833,0.5010493397010678,1.897312
canneal,large,local,12110496222.0,144343559.0,6084799.0,0.04215497416133407,0.5024401055463209,238979822.0,0.002221,0.04382761655115274,588359692.0,0.070851,3.44212753744683,46248234.0,0.892843,3.4096383197122804,6033570463.0,318130878.0,5410106150.0,99627497.0,5964455298.0,27728385.0,4434507336.0,395470431.0,4915209974.0,12599556.0,480274255.0,452491238.0,8416513.0,2.0071856782424056,0.49821001157982114,1.888516
canneal,large,ltage,12079223513.0,156676594.0,8870312.0,0.05661542527532862,0.7343445537251232,253945607.0,0.002185,0.04593599503294496,600959578.0,0.069507,3.4580780248905056,46568265.0,0.888266,3.4244756241137373,6090136587.0,330713352.0,5428931223.0,113143432.0,6009851484.0,32955025.0,4453174015.0,408717590.0,4928187419.0,23732688.0,595474986.0,455638738.0,7475223.0,1.9834076527584454,0.5041827879454026,1.906221
canneal,large,perceptron,12099312834.0,144351694.0,6087099.0,0.0421685318081546,0.503094604091464,239000899.0,0.00222,0.04385224211155395,588367669.0,0.070726,3.439277281992294,45502765.0,0.901664,3.3909533263465663,5994641426.0,318184882.0,5372000328.0,99516727.0,5925909110.0,28137724.0,4396562332.0,395567106.0,4876733640.0,12588864.0,480739885.0,452577004.0,8435831.0,2.0183547228567797,0.4954530483049084,1.87945
canneal,large,tage,12088769909.0,144374480.0,6080886.0,0.04211884260985736,0.5030194176723328,238964844.0,0.002226,0.04400247061927928,588338460.0,0.071147,3.4625951795522756,46414762.0,0.886365,3.4031932801948077,6017469295.0,317836789.0,5394165743.0,99635024.0,5948508586.0,27648219.0,4419043639.0,395280666.0,4899445160.0,12589908.0,479839239.0,452712157.0,8008761.0,2.0089458402462856,0.49777349890000294,1.883476
canneal,large,tournament,12179321245.0,145530862.0,6097705.0,0.04189973807754949,0.5006604947302217,239838521.0,0.002244,0.044189460996847195,591024756.0,0.071153,3.4528348187656333,45226157.0,0.907104,3.3684001837269877,5969901552.0,319847122.0,5344616309.0,99754605.0,5900393734.0,28356250.0,4367324961.0,397192724.0,4844929639.0,12634774.0,481383826.0,452189959.0,8364463.0,2.0401209532374547,0.4901670160355476,1.869592
canneal,medium,bimodal,8348993422.0,68741340.0,3021132.0,0.04394927419221097,0.36185583666159943,115531298.0,0.002179,0.030152460975552554,281981713.0,0.070713,2.3882846546299508,20045778.0,0.945951,2.271210765948308,2766190546.0,150428547.0,2468604832.0,48085665.0,2733511636.0,13325047.0,2001650726.0,188210407.0,2231782650.0,6276056.0,236325742.0,215689422.0,4505108.0,3.018227878073299,0.3313202449903667,0.865826
canneal,medium,local,8309350681.0,73828702.0,4150445.0,0.0562172283619452,0.49949089397446267,122020235.0,0.002102,0.030867217405624384,287274068.0,0.069564,2.404993366334493,20100177.0,0.944755,2.2853461661037575,2788689735.0,155383885.0,2475823199.0,53422211.0,2751747456.0,15123462.0,2008666083.0,193619416.0,2236902308.0,10798468.0,282794991.0,217176007.0,4180960.0,2.9796612282506216,0.3356086223892998,0.872868
canneal,medium,ltage,8320340226.0,68734945.0,3020323.0,0.04394159331908973,0.3630047471570786,115521982.0,0.002179,0.030253858849593633,281944706.0,0.071,2.4059201405545987,20409873.0,0.934,2.2911108036701573,2783232716.0,150257680.0,2485646753.0,48104632.0,2750522705.0,13281262.0,2018691879.0,188076512.0,2249071918.0,6274432.0,236229423.0,215810637.0,4361661.0,2.9894518622782673,0.3345094840356111,0.87116
canneal,medium,perceptron,8325940143.0,73737640.0,4158006.0,0.05638919281929826,0.49940378246603495,121490713.0,0.002143,0.031270294223516855,287165311.0,0.069469,2.396016143189681,20801094.0,0.922761,2.3053778877658218,2822175749.0,155379375.0,2509815967.0,53405206.0,2785528326.0,15271861.0,2042188955.0,193516321.0,2270974772.0,10819350.0,283036370.0,216987843.0,4154279.0,2.950184851510465,0.33896181098211864,0.883349
canneal,medium,tage,8341185626.0,68754002.0,3028567.0,0.04404931948543155,0.36308591317759026,115547253.0,0.00222,0.030752810590910114,282010842.0,0.070628,2.387893357353273,20665655.0,0.928708,2.3009149998911673,2801690179.0,150433306.0,2504299189.0,48116226.0,2769173906.0,13391022.0,2036869363.0,188217427.0,2267387448.0,6301792.0,236540885.0,215670427.0,4529626.0,2.9771977246167873,0.3358863241536018,0.876937
canneal,medium,tournament,8331978003.0,73706481.0,4149815.0,0.056301901049922595,0.4980588041045984,121472680.0,0.002144,0.03125757483111781,287095327.0,0.069654,2.400070895489377,20728165.0,0.928518,2.3099526069968186,2826013685.0,155316715.0,2512985898.0,53555176.0,2788694958.0,15316147.0,2045095686.0,193465342.0,2274057379.0,10797442.0,282660230.0,217043747.0,4179602.0,2.9483148107968202,0.3391768057935906,0.884545
dedup,small,bimodal,6908052300.0,402169755.0,15091739.0,0.03752579305721287,2.1846590536090758,363958826.0,0.032446,1.7094555101147686,946867651.0,0.025226,3.457658154111832,34876845.0,0.231637,1.1694711322994762,1894666287.0,467616830.0,787673945.0,267547547.0,1502811588.0,188066433.0,155678249.0,571350730.0,182773674.0,40726848.0,1000543308.0,181285791.0,847724.0,3.6460522612339066,0.27426924474790093,0.593031
dedup,small,local,6846369969.0,404485486.0,15160049.0,0.037479834319691756,2.214319277024744,365359477.0,0.032467,1.7326154142224388,948919481.0,0.025256,3.5005280930847102,35075878.0,0.232639,1.1918749963835034,1905077730.0,470329357.0,793273443.0,268532613.0,1511661787.0,188951640.0,155928598.0,574005035.0,183109666.0,40908206.0,1003006423.0,181580002.0,924254.0,3.5937483605983886,0.2782609965026855,0.596289
dedup,small,ltage,6859192869.0,405663224.0,15135942.0,0.03731159519651207,2.2066651702427875,367339787.0,0.032143,1.7213982751388064,949328563.0,0.025003,3.460474506842301,34858290.0,0.232146,1.179761634479271,1900852983.0,472473131.0,786917851.0,268536096.0,1508619087.0,188093669.0,155372660.0,577752368.0,182054697.0,40794754.0,999950623.0,180942437.0,871317.0,3.608481524002217,0.2771248774168272,0.594967
dedup,small,tage,6818967277.0,397921495.0,15133874.0,0.038032310870766105,2.2193791794610487,359930652.0,0.032981,1.7408608006745832,943514428.0,0.025277,3.4974818367288676,34966752.0,0.230256,1.1807219658713726,1885782614.0,461782451.0,789055039.0,266470203.0,1497432801.0,187770022.0,155598708.0,565188795.0,182424982.0,40858956.0,1001615408.0,181217337.0,876793.0,3.6159879863013735,0.27654959136710344,0.59025
dedup,small,tournament,6840673357.0,397917564.0,15084113.0,0.037907633049341846,2.205062603166772,360028276.0,0.032834,1.728070878006111,943921394.0,0.025544,3.5247302173349486,35083571.0,0.230029,1.1797433282354868,1890007650.0,461332941.0,791393226.0,267018101.0,1500628913.0,187398055.0,155920166.0,565819704.0,183215275.0,40721232.0,1002960050.0,181793892.0,866117.0,3.619389242683753,0.27628970882902515,0.591572
